Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,EV Connector Types
ELEC,HARMONY MILLS 1 FALLSVIEW 1.1,Mohawk St & Cohoes Mills,,Cohoes,NY,12047,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.78178,-73.705505,8/8/23,174735,8/8/23 0:24,,,,1/27/21,J1772
ELEC,ADELPHI UNIV STATION 06,1 South Ave,,Garden City,NY,11530,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.71962,-73.650117,8/8/23,171556,8/8/23 0:25,,,,1/27/21,J1772
ELEC,INDUSTRY CITY LOT B EAST,533 2nd Ave,,Brooklyn,NY,11232,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.659338,-74.006454,8/8/23,217354,8/8/23 0:18,,,,5/12/22,J1772
ELEC,RPI 1 B-LOT,71 Albright Ct,,Troy,NY,12180,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.731358,-73.669075,8/8/23,143578,8/8/23 0:19,,,,8/15/19,J1772
ELEC,RUSTIC VILLAGE CLUB HOUSE,100 W Squire Dr,,Rochester,NY,14623,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.101527,-77.622553,8/8/23,185426,8/8/23 0:36,,,,2/27/21,J1772
ELEC,TOWN OF BOLTON TOWN OF BOLTON1,5 Cross Street Town of Bolton,,Bolton Landing,NY,12814,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.557602,-73.657839,8/8/23,165304,8/8/23 0:31,,,,8/19/20,J1772
ELEC,PICOTTE 12 CORPORATE 3,12 Corporate Woods Blvd,,Albany,NY,12211,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.685726,-73.76646,8/8/23,181233,8/8/23 0:32,,,,1/27/21,J1772
ELEC,SCCC AMMERMAN 3,College Rd,,Farmingville,NY,11738,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.844415,-73.055372,8/8/23,193748,8/8/23 0:40,,,,8/11/21,J1772
ELEC,577 Baltic Street - Adam America Real Estate - Tesla Destination,577 Baltic Street,,Brooklyn,NY,11217,,877-798-3752,E,,Public,,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.681151,-73.982101,10/6/22,168557,1/18/23 15:15,P,,,4/12/17,TESLA
ELEC,Angelina's Ristorante - Tesla Destination,399 Ellis St,,Staten Island,NY,10307,,718-227-2900  877-798-3752,E,,Public,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.513465,-74.251418,10/6/22,115240,1/18/23 15:15,P,,,1/11/16,TESLA
ELEC,Mohawk Honda Collision Center Inside,25 Saratoga Rd,,Schenectady,NY,12302,,844-623-1001,E,,Public,24 hours daily,A CREDIT D M V,,8,,,LIVINGSTON,https://www.solution.energy,GPS,42.85144,-73.94279,7/12/22,223235,2/14/23 15:54,P,,,12/29/21,J1772
ELEC,Hamilton College- Anderson-Connell Alumni Center,153 College Hill Rd,,Clinton,NY,13323,,866-816-7584,E,,Public,,,,2,,,EV Connect,http://evconnect.com/,GPS,43.049774,-75.405274,8/8/23,154893,8/8/23 1:08,,,,4/10/19,J1772
ELEC,2 WEST AVE 2 WEST 1.2,2 West Ave,,Saratoga Springs,NY,12866,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.084293,-73.803055,8/8/23,170398,8/8/23 0:34,,,,12/19/20,J1772
ELEC,MPG 1-50 51st Ave - Tesla Destination,1-50 51st Ave,,Long Island City,NY,11101,,718-433-1420  877-798-3752,E,,Public,,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.743049,-73.959245,10/6/22,114968,1/18/23 15:15,P,,,5/15/18,TESLA
ELEC,Travelers N,70 Genesee St,,Utica,NY,13502,,844-623-1001,E,,Public - Credit card at all times,24 hours daily,A CREDIT D M V,,4,,,LIVINGSTON,https://www.solution.energy,GPS,43.10378,-75.22709,9/14/22,225126,2/14/23 15:54,P,,,6/30/22,J1772
ELEC,ICE RINK TOWN HALL,4 High St,,Saugerties,NY,12477,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.081234,-73.958496,8/8/23,166689,8/8/23 0:30,,,,9/9/20,J1772
ELEC,Rochester Institute of Technology - Lot T,1 Lomb Memorial Dr,Located across from the GIS building,Rochester,NY,14623,,585-475-5000,E,,Public,24 hours daily; access restricted to students and staff 5am-5pm; parking pass required,,,6,,,Non-Networked,,200-9,43.08779,-77.674413,3/8/23,63988,3/8/23 17:16,P,,,10/1/13,J1772
ELEC,Downtown Plattsburgh Public Parking,109 Margaret St,,Plattsburgh,NY,12901,,518-563-7642,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,2,,,Non-Networked,,GPS,44.698236,-73.453527,10/11/22,227689,2/14/23 15:54,P,,,9/13/22,J1772
ELEC,NAT GRID WRKPLC SOC LOT2 STN 3,344 W. Genesee St.,,Syracuse,NY,13202,,888-758-4389,E,,Public,Mon 5:00pm - 12:00am; Tue 5:00pm - 12:00am; Wed 5:00pm - 12:00am; Thu 5:00pm - 12:00am; Fri 5:00pm - 12:00am; Sat 12:00am - 12:00am; Sun 12:00am - 12:00am,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.052745,-76.15511,8/8/23,183121,8/8/23 0:21,,,,1/27/21,J1772
ELEC,TOWN OF BABYLON TOWN HALL 1,N Jefferson Ave,,Lindenhurst,NY,11757,,888-758-4389,E,,Public,24 hours daily,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.704737,-73.375554,8/8/23,162286,8/8/23 0:12,,,,6/12/20,J1772
ELEC,PUBLIC RESTROOM WOODSTOCK COMMU,56 Rock City Rd Woodstock Community Ctr.,,Woodstock,NY,12498,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.044798,-74.118166,8/8/23,162253,8/8/23 0:14,,,,6/12/20,J1772
ELEC,MARRIOTTSS STATION 3,47 Excelsior Ave,,Saratoga Springs,NY,12866,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.089337,-73.777234,8/8/23,203140,8/8/23 0:43,,,,12/29/21,J1772
ELEC,33-10 Queens Blvd,33-10 Queens Blvd,,Queens,NY,11101,,888-356-8911,E,,Public,24 hours daily,,,4,,,FLO,https://flo.ca/,GPS,40.744362,-73.93112,8/8/23,204691,8/8/23 1:13,,,,1/12/22,J1772
ELEC,Village of Hilton,59 Hovey St.,,Hilton,NY,14468,,866-816-7584,E,,Public,,,,6,,,EV Connect,http://evconnect.com/,GPS,43.289395,-77.791256,8/8/23,230955,8/8/23 1:08,,,,9/30/22,J1772
ELEC,FC1225 LATHAM FARMS PR,579 Troy-Schenectady Rd,,Latham,NY,12110,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.757072,-73.76193,8/8/23,254202,8/8/23 0:53,,,,2/17/23,J1772
ELEC,Westchester Medical Center,100 Woods Road,,Valhalla,NY,10595,,866-816-7584,E,,Public,,,,4,,,EV Connect,http://evconnect.com/,GPS,41.086676,-73.806065,8/8/23,123262,8/8/23 1:07,,,,4/1/19,J1772
ELEC,MONTY'S EVSE EVSE1,562 Lake Shore Rd,,West Chazy,NY,12992,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,44.820103,-73.40034,8/8/23,206887,8/8/23 0:42,,,,2/23/22,J1772
ELEC,WOODLAKE STATION 2,61 Woodlake Rd N,,Albany,NY,12203,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.677214,-73.847115,8/8/23,51095,8/8/23 0:21,,,,2/15/13,J1772
ELEC,SUNY ADMIN LOT,8 Chenango Street (PO Box 901),,Morrisville,NY,13408,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.893032,-75.639661,8/8/23,206376,8/8/23 0:44,,,,2/15/22,J1772
ELEC,Forest Hills Tower,11835 Queens Blvd,,Forest Hills,NY,11375,,866-816-7584,E,,Public,,,,6,,,EV Connect,http://evconnect.com/,GPS,40.715319,-73.830563,8/8/23,230790,8/8/23 1:07,,,,9/30/22,J1772
ELEC,NYC Parking Kent,444 Kent Avenue,Attendant will assist in charging ||vehicle.  Parking rates apply. Inquire ||within.||,Brooklyn,NY,11211,,888-998-2546,E,,Public,,,,2,,,Blink Network,http://www.blinkcharging.com/,GPS,40.709168,-73.968491,6/20/23,193979,6/20/23 0:10,,,,8/17/21,J1772
ELEC,Revel Brooklyn Superhub,467 Marcy Ave,,Brooklyn,NY,11206,,949-945-2000,E,,Public,24 hours daily,,,,25,,EVGATEWAY,http://evgateway.com/,GPS,40.699334,-73.949665,9/10/21,194700,7/26/23 16:50,SG,,,8/29/21,CHADEMO J1772COMBO TESLA
ELEC,HWS COLLEGES MEDBERY LOT,311 Pulteney St,,Geneva,NY,14456,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.86009,-76.984375,8/8/23,170029,8/8/23 0:12,,,,12/10/20,J1772
ELEC,Shults Nissan Subaru,311 Fluvanna Avenue,,Jamestown,NY,14701,,888-998-2546,E,,Public,,,,2,,,Blink Network,http://www.blinkcharging.com/,GPS,42.115843,-79.253222,6/21/23,191308,6/21/23 0:00,,,,6/22/21,J1772
ELEC,EXECUTIVE PARK #2,2 Executive Blvd,,Montebello,NY,10901,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.120068,-74.11675,8/8/23,175753,8/8/23 0:29,,,,1/27/21,J1772
ELEC,Tunnel Garage,300 E 34th Street,Located between 1st Ave & 2nd Ave. ||Attendant will assist in charging ||vehicle.  Parking rates apply. Inquire ||within.||,New York,NY,10001,,888-998-2546,E,,Public,,,,1,,,Blink Network,http://www.blinkcharging.com/,GPS,40.74508,-73.97604,6/21/23,225878,6/21/23 0:01,,,,8/18/22,J1772
ELEC,SI - STATION 1 STATION 1,1 Golf Course Rd,,Shandaken,NY,12480,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.117025,-74.409617,8/8/23,193080,8/8/23 0:39,,,,7/22/21,J1772
ELEC,SHG FAIRFIELD 1.2,21 Big Boom Rd,,Queensbury,NY,12804,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.295773,-73.67625,8/8/23,181988,8/8/23 0:34,,,,1/27/21,J1772
ELEC,25 Maple Avenue - 2,"25 Maple Ave, New Rochelle, NY 10801",,New Rochelle,NY,10801,,888-998-2546,E,,Public,,,,1,,,Blink Network,http://www.blinkcharging.com/,GPS,40.90581,-73.785031,6/21/23,257411,6/21/23 0:01,,,,3/30/23,J1772
ELEC,KEELER STATION 04,1077 Troy Schenectady Rd,,Latham,NY,12110,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.766866,-73.812303,8/8/23,190452,8/8/23 0:38,,,,5/31/21,J1772
ELEC,GHMC PARKINGGARAGE4,707 E Main St,,Middletown,NY,10940,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.441883,-74.366679,8/8/23,202334,8/8/23 0:43,,,,12/10/21,J1772
ELEC,GGMC Parking E 74th Street - Tesla Destination,300 E 74th St,,New York,NY,10021,,212-988-8026  877-798-3752,E,,Public,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.769947,-73.956989,10/6/22,115084,1/18/23 15:15,P,,,12/28/16,J1772 TESLA
ELEC,GARDEN CHARGERS JOVIA #3,1000 Corporate Dr,,Westbury,NY,11590,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.740154,-73.601131,8/8/23,174505,8/8/23 0:23,,,,1/27/21,J1772
ELEC,ERIE COUNTY COMO PARK,2220 Como Park Blvd,,Lancaster,NY,14086,,888-758-4389,E,,Public,Mon 6:00am - 9:00pm; Tue 6:00am - 9:00pm; Wed 6:00am - 9:00pm; Thu 6:00am - 9:00pm; Fri 6:00am - 9:00pm; Sat 6:00am - 9:00pm; Sun 6:00am - 9:00pm,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.88817,-78.660489,8/8/23,162153,8/8/23 0:16,,,,6/12/20,J1772
ELEC,Peppermints Restaurant - Tesla Destination,4870 W Henrietta Rd,,Henrietta,NY,14467,,585-359-9169  877-798-3752,E,,Public,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,43.055343,-77.653277,10/6/22,114948,1/18/23 15:15,P,,,12/29/17,TESLA
ELEC,AMCR CASINO 1.1,873 State Route 37,,Akwesasne,NY,13655,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,44.97131,-74.643234,8/8/23,181482,8/8/23 0:32,,,,1/27/21,J1772
ELEC,MILTON NY CCENTER2,310 Northline Rd,,Ballston Spa,NY,12020,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.024951,-73.85115,8/8/23,258944,8/8/23 0:52,,,,4/11/23,J1772
ELEC,TOWN OF MANLIUS TOWN HALL 1,301 brooklea dr,,Fayetteville,NY,13066,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.032622,-76.012887,8/8/23,236737,8/8/23 0:51,,,,11/30/22,J1772
ELEC,EVolveNY Oswego,99 W 2nd St,,Oswego,NY,13126,,855-900-7584,E,,Public,24 hours daily,,,,2,,SHELL_RECHARGE,https://shellrecharge.com/en-us/solutions,GPS,43.4577,-76.51287,8/8/23,213850,8/8/23 1:01,,,,4/12/22,CHADEMO J1772COMBO
ELEC,Bald Hill Automotive,8739 Main St,,Honeoye,NY,14471,,888-998-2546,E,,Public,,,,2,,,Blink Network,http://www.blinkcharging.com/,GPS,42.789,-77.517,6/21/23,227641,6/21/23 0:00,,,,9/15/22,J1772
ELEC,24 STATE STREET PITTSFORD,14 State St,,Pittsford,NY,14534,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.09121,-77.514398,8/8/23,162347,8/8/23 0:10,,,,6/12/20,J1772
ELEC,PICOTTE 80 WOLF 2,80 Wolf Rd,,Colonie,NY,12205,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.715424,-73.81346,8/8/23,147462,8/8/23 0:24,,,,11/2/19,J1772
ELEC,Enterprise Parking 545 Washington Ave - Tesla Destination,545 Washington Ave,,Brooklyn,NY,11238,,347-889-6642  877-798-3752,E,,Public,,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.681953,-73.964405,10/6/22,150573,1/18/23 15:15,P,,,3/31/19,TESLA
ELEC,Arcadian Shopping Center,216 S Highland Ave,,Ossining,NY,10562,,877-455-3833,E,,Public,24 hours daily,,,,1,,eVgo Network,https://www.evgo.com/,GPS,41.143368,-73.862697,8/7/23,228020,8/7/23 23:55,,,,3/7/18,CHADEMO J1772COMBO
ELEC,REGENERON GLOBALVIEW1,1 Global View,,Troy,NY,12180,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.682103,-73.705442,8/8/23,260227,8/8/23 0:54,,,,5/3/23,J1772
ELEC,River Spring Lodge - Tesla Destination,1961 Church Rd,,Darien Center,NY,14040,,585-708-4212  877-798-3752,E,,Public,,,,1,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,42.858354,-78.346881,10/6/22,114932,1/18/23 15:15,P,,,12/28/16,TESLA
ELEC,Sebonack Golf Club - Tesla Destination,405 Sebonac Rd,,Southampton,NY,11968,,631-287-4444  877-798-3752,E,,Public,,,,1,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.910893,-72.455539,10/6/22,115239,1/18/23 15:15,P,,,7/23/15,TESLA
ELEC,The Lodge at Gore Mountain (Becks Tavern),881 Peaceful Valley,,North Creek,NY,12853,,866-816-7584,E,,Public,,,,2,,,EV Connect,http://evconnect.com/,GPS,43.686274,-73.991892,8/8/23,154923,8/8/23 1:07,,,,4/15/19,J1772
ELEC,Holiday Inn - Tesla Supercharger,441 Electronics Parkway,,Liverpool,NY,13088,,877-798-3752,E,,Public,24 hours daily,,,,8,,Tesla,https://www.tesla.com/supercharger,200-8,43.102424,-76.187446,7/1/23,102332,7/14/23 19:41,P,,,3/1/15,TESLA
ELEC,Bridge Towers Location 1,111 Wadsworth Ave,Chargers on ground level in the center ||of the garage.||,New York,NY,10033,,888-998-2546,E,,Public,,,,5,,,Blink Network,http://www.blinkcharging.com/,GPS,40.848202,-73.935857,6/20/23,218294,6/20/23 0:11,,,,5/18/22,J1772
ELEC,HIDDEN CREEK HC 150 LEFT,150 Charwood Cir,,Irondequoit,NY,14609,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.183364,-77.559942,8/8/23,257255,8/8/23 0:53,,,,3/29/23,J1772
ELEC,CAYUGA MED CTR. CAYUGA MEDICAL,101 Dates Dr,,Ithaca,NY,14850,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.468963,-76.538457,8/8/23,186535,8/8/23 0:26,,,,3/24/21,J1772
ELEC,iPark NYC 555 West Garage Corp. - Tesla Destination,549 W 23rd St,,New York,NY,10011,,855-472-7569  877-798-3752,E,,Public,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.749296,-74.006017,10/6/22,150502,1/18/23 15:15,P,,,6/24/15,J1772 TESLA
ELEC,CAP REP GARAGE 93 NORTH 1.3,93 N Pearl St,,Albany,NY,12207,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.652683,-73.75048,8/8/23,183662,8/8/23 0:35,,,,1/30/21,J1772
ELEC,Parkway Condominiums,151 Buffalo Ave,,Niagara Falls,NY,14303,,844-623-1001,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,4,,,LIVINGSTON,https://www.solution.energy,GPS,43.082547,-79.060089,7/11/23,296745,7/11/23 18:28,P,,,6/15/23,J1772
ELEC,FOODBANK LATHAM PARKING TWO,959 Albany Shaker Rd Regional Food Bank - Lat,,Latham,NY,12110,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.764423,-73.8144,8/8/23,164452,8/8/23 0:30,,,,7/23/20,J1772
ELEC,Chautauqua Institution School of Art - North Lot,54 Palestine Ave,,Chatauqua,NY,14757,,914-422-1238,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,1,,,Non-Networked,,GPS,42.210705,-79.471833,9/14/22,226485,2/14/23 15:54,P,,,8/22/22,J1772
ELEC,War Cannon,2849 New York 9N,,Crown Point,NY,12928,,844-623-1001,E,,Public,24 hours daily,A CREDIT D M V,,10,,,LIVINGSTON,https://www.solution.energy,GPS,43.95574,-73.4327,7/12/22,223218,2/14/23 15:54,P,,,1/6/22,J1772
ELEC,Propark 401 W 110th Street - Tesla Destination,401 W 110th St,,New York,NY,10025,,212-864-7164  877-798-3752,E,,Public,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.802151,-73.961705,10/6/22,115123,1/18/23 15:15,P,,,8/23/17,J1772 TESLA
ELEC,CHEEKTOWAGA BROADWAY #2,3301 Broadway,,Cheektowaga,NY,14227,,888-758-4389,E,,Public,24 hours daily,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.902643,-78.753096,8/8/23,183764,8/8/23 0:35,,,,2/4/21,J1772
ELEC,THE HYDE STATION 2,153 Warren St,,Glens Falls,NY,12801,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.310382,-73.634822,8/8/23,221196,8/8/23 0:46,,,,6/11/22,J1772
ELEC,South Port Shopping Center - Tesla Supercharger,999 Montauk Highway,,Shirley,NY,11967,,877-798-3752,E,,Public,24 hours daily,A D Debit M V,,,12,,Tesla,https://www.tesla.com/supercharger,GPS,40.80588,-72.85978,7/1/23,214708,7/14/23 19:41,P,,,4/17/22,J1772COMBO TESLA
ELEC,CMH STATION 6,71 Prospect Ave,,Hudson,NY,12534,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.245956,-73.778614,8/8/23,220315,8/8/23 0:43,,,,5/28/22,J1772
ELEC,The Lodge at Grist Iron Brewing Co.,4880 NY-414,,Burdett,NY,14818,,697-882-2739,E,,Public,24 hours daily,,,1,,,Non-Networked,,GPS,42.469877,-76.864653,6/14/22,157970,2/14/23 15:54,P,,,5/15/20,J1772
ELEC,TANNERSVILLE MUNICIPAL LOT,20 Tompkins St,,Tannersville,NY,12485,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.195133,-74.13242,8/8/23,152438,8/8/23 0:25,,,,1/15/20,J1772
ELEC,Dover Plains Library - Town Of Dover NY,1797 Route 22,,Wingdale,NY,12594,,855-885-9571,E,,Public,,,,2,,,OpConnect,http://www.opconnect.com/,GPS,41.64788,-73.56342,8/8/23,189684,8/8/23 1:06,,,,5/14/21,J1772
